Date,City,Temperature_C,Humidity_%,Precipitation_mm,Wind_Speed_km_h
2024-12-01,Los Angeles,17.0,61.9,0.8,18.8
2024-12-01,San Francisco,3.8,73.6,0.1,9.2
2024-12-01,San Diego,14.9,76.6,1.8,14.6
2024-12-01,Sacramento,15.0,49.9,2.1,23.9
2024-12-01,San Jose,13.2,65.6,4.3,17.0
2024-12-01,Fresno,7.0,54.3,1.1,21.9
2024-12-01,Long Beach,18.3,59.5,0.2,13.8
2024-12-01,Oakland,9.9,77.8,2.9,10.8
2024-12-01,Bakersfield,10.8,45.5,1.4,9.5
2024-12-01,Anaheim,8.0,59.4,2.0,20.6
2024-12-02,Los Angeles,16.8,66.7,2.1,17.1
2024-12-02,San Francisco,6.4,77.1,1.4,21.8
2024-12-02,San Diego,16.8,72.6,1.1,23.3
2024-12-02,Sacramento,17.7,40.4,0.8,8.7
2024-12-02,San Jose,14.5,48.7,0.1,15.4
2024-12-02,Fresno,16.6,42.6,1.5,9.4
2024-12-02,Long Beach,21.6,60.2,2.2,15.8
2024-12-02,Oakland,9.0,73.0,0.5,19.0
2024-12-02,Bakersfield,6.9,54.0,0.0,16.4
2024-12-02,Anaheim,13.3,68.8,0.3,23.7
2024-12-03,Los Angeles,9.6,51.3,0.4,14.5
2024-12-03,San Francisco,6.6,62.6,0.1,11.0
2024-12-03,San Diego,19.9,51.0,0.3,15.6
2024-12-03,Sacramento,6.9,42.9,0.0,17.3
2024-12-03,San Jose,18.8,65.5,2.9,23.7
2024-12-03,Fresno,12.2,65.1,6.6,19.8
2024-12-03,Long Beach,8.3,66.9,4.6,22.9
2024-12-03,Oakland,8.5,79.4,1.1,12.8
2024-12-03,Bakersfield,14.1,46.0,5.0,24.9
2024-12-03,Anaheim,20.5,54.3,7.1,16.0
2024-12-04,Los Angeles,14.8,58.2,0.8,23.7
2024-12-04,San Francisco,2.4,78.4,0.5,22.7
2024-12-04,San Diego,5.6,73.9,1.8,17.5
2024-12-04,Sacramento,11.9,55.7,2.8,12.3
2024-12-04,San Jose,20.7,57.1,0.7,21.3
2024-12-04,Fresno,7.9,69.4,0.1,23.8
2024-12-04,Long Beach,21.4,60.1,2.5,13.5
2024-12-04,Oakland,13.6,78.5,0.1,7.7
2024-12-04,Bakersfield,6.7,43.7,0.9,9.1
2024-12-04,Anaheim,13.8,53.4,4.1,18.4
2024-12-05,Los Angeles,19.9,72.5,2.0,14.2
2024-12-05,San Francisco,4.7,73.1,1.2,7.0
2024-12-05,San Diego,16.2,56.2,0.7,6.0
2024-12-05,Sacramento,10.6,40.1,1.0,9.9
2024-12-05,San Jose,15.2,66.0,1.3,23.5
2024-12-05,Fresno,17.3,53.2,0.3,9.9
2024-12-05,Long Beach,15.7,57.9,1.7,24.9
2024-12-05,Oakland,4.0,66.6,2.6,13.6
2024-12-05,Bakersfield,10.3,47.8,4.1,18.0
2024-12-05,Anaheim,24.6,67.6,8.9,10.4
2024-12-06,Los Angeles,16.2,51.2,1.0,22.3
2024-12-06,San Francisco,5.9,63.1,3.5,24.3
2024-12-06,San Diego,13.3,51.7,0.3,20.5
2024-12-06,Sacramento,11.3,52.3,1.8,22.0
2024-12-06,San Jose,5.7,67.9,0.2,16.2
2024-12-06,Fresno,3.6,42.5,1.5,9.1
2024-12-06,Long Beach,13.1,66.7,2.9,18.8
2024-12-06,Oakland,10.0,79.1,2.0,17.2
2024-12-06,Bakersfield,14.5,69.8,0.2,18.2
2024-12-06,Anaheim,13.4,79.9,2.5,6.6
2024-12-07,Los Angeles,13.6,68.2,3.5,12.4
2024-12-07,San Francisco,12.9,68.1,3.0,17.7
2024-12-07,San Diego,19.2,62.8,1.0,16.2
2024-12-07,Sacramento,17.8,60.2,1.2,10.3
2024-12-07,San Jose,11.9,58.3,3.4,13.7
2024-12-07,Fresno,12.8,63.5,0.3,19.3
2024-12-07,Long Beach,16.2,60.8,0.1,8.7
2024-12-07,Oakland,4.1,83.7,0.1,17.1
2024-12-07,Bakersfield,8.2,49.2,1.6,7.3
2024-12-07,Anaheim,19.8,79.9,2.6,8.6
2024-12-08,Los Angeles,13.1,54.0,0.1,16.8
2024-12-08,San Francisco,3.8,86.6,0.2,18.4
2024-12-08,San Diego,18.2,51.5,1.5,8.5
2024-12-08,Sacramento,15.6,41.5,1.8,14.1
2024-12-08,San Jose,15.0,46.6,1.8,6.4
2024-12-08,Fresno,17.1,45.6,2.0,18.5
2024-12-08,Long Beach,15.7,66.8,0.1,14.3
2024-12-08,Oakland,0.5,61.1,4.2,8.0
2024-12-08,Bakersfield,18.1,43.4,2.5,6.9
2024-12-08,Anaheim,18.6,56.3,0.4,13.3
2024-12-09,Los Angeles,18.6,74.1,3.4,6.3
2024-12-09,San Francisco,14.5,89.2,0.1,11.1
2024-12-09,San Diego,19.3,74.1,0.3,17.1
2024-12-09,Sacramento,6.0,44.9,0.2,14.8
2024-12-09,San Jose,8.0,61.6,0.8,19.6
2024-12-09,Fresno,4.7,66.0,2.7,20.7
2024-12-09,Long Beach,18.7,51.1,1.1,9.2
2024-12-09,Oakland,14.9,88.6,1.1,10.9
2024-12-09,Bakersfield,10.2,41.2,0.8,15.7
2024-12-09,Anaheim,11.7,59.4,2.6,23.6
2024-12-10,Los Angeles,24.7,72.0,2.6,9.1
2024-12-10,San Francisco,6.4,84.3,0.9,9.9
2024-12-10,San Diego,22.5,64.6,1.6,10.6
2024-12-10,Sacramento,8.5,47.1,1.1,15.6
2024-12-10,San Jose,12.9,55.5,0.7,8.3
2024-12-10,Fresno,13.9,57.8,0.7,9.5
2024-12-10,Long Beach,15.6,60.0,1.5,9.2
2024-12-10,Oakland,10.2,73.3,2.0,5.2
2024-12-10,Bakersfield,10.5,63.0,4.5,8.5
2024-12-10,Anaheim,17.4,71.7,2.8,16.0
2024-12-11,Los Angeles,25.4,74.3,0.2,12.4
2024-12-11,San Francisco,14.0,84.3,4.0,20.2
2024-12-11,San Diego,19.5,62.5,5.5,12.5
2024-12-11,Sacramento,13.6,48.5,0.1,20.7
2024-12-11,San Jose,8.9,56.2,1.0,10.7
2024-12-11,Fresno,5.4,66.4,1.0,15.0
